exchange,instrument_id,base_asset,quote_asset,settlement_currency,max_leverage,funding_interval,price_tick_size,fetch_timestamp,fetch_date,base_instrument
ApeX Omni,BTCUSDT,BTC,USDT,USDT,100.0,1.0,0.1,2026-05-31 22:09:58.728739,20260531,BTCUSDT
ApeX Omni,ETHUSDT,ETH,USDT,USDT,100.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,ETHUSDT
ApeX Omni,APEXUSDT,APEX,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,APEXUSDT
ApeX Omni,TAOUSDT,TAO,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,TAOUSDT
ApeX Omni,CHZUSDT,CHZ,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,CHZUSDT
ApeX Omni,SOLUSDT,SOL,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,SOLUSDT
ApeX Omni,BNBUSDT,BNB,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,BNBUSDT
ApeX Omni,XRPUSDT,XRP,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,XRPUSDT
ApeX Omni,TONUSDT,TON,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,TONUSDT
ApeX Omni,DOGEUSDT,DOGE,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,DOGEUSDT
ApeX Omni,ADAUSDT,ADA,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,ADAUSDT
ApeX Omni,SUIUSDT,SUI,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,SUIUSDT
ApeX Omni,AVAXUSDT,AVAX,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,AVAXUSDT
ApeX Omni,HYPEUSDT,HYPE,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,HYPEUSDT
ApeX Omni,OPUSDT,OP,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,OPUSDT
ApeX Omni,AAVEUSDT,AAVE,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,AAVEUSDT
ApeX Omni,LINKUSDT,LINK,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,LINKUSDT
ApeX Omni,ONDOUSDT,ONDO,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,ONDOUSDT
ApeX Omni,1000PEPEUSDT,1000PEPE,USDT,USDT,25.0,1.0,1e-07,2026-05-31 22:09:58.728739,20260531,1000PEPEUSDT
ApeX Omni,1000SHIBUSDT,1000SHIB,USDT,USDT,25.0,1.0,1e-06,2026-05-31 22:09:58.728739,20260531,1000SHIBUSDT
ApeX Omni,UNIUSDT,UNI,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,UNIUSDT
ApeX Omni,CRVUSDT,CRV,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,CRVUSDT
ApeX Omni,ENSUSDT,ENS,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,ENSUSDT
ApeX Omni,ZKUSDT,ZK,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,ZKUSDT
ApeX Omni,1000BONKUSDT,1000BONK,USDT,USDT,25.0,1.0,1e-06,2026-05-31 22:09:58.728739,20260531,1000BONKUSDT
ApeX Omni,WIFUSDT,WIF,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,WIFUSDT
ApeX Omni,PENDLEUSDT,PENDLE,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,PENDLEUSDT
ApeX Omni,ZROUSDT,ZRO,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,ZROUSDT
ApeX Omni,NEARUSDT,NEAR,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,NEARUSDT
ApeX Omni,BCHUSDT,BCH,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,BCHUSDT
ApeX Omni,LTCUSDT,LTC,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531,LTCUSDT
ApeX Omni,POLUSDT,POL,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,POLUSDT
ApeX Omni,ARBUSDT,ARB,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,ARBUSDT
ApeX Omni,WLDUSDT,WLD,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,WLDUSDT
ApeX Omni,STXUSDT,STX,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,STXUSDT
ApeX Omni,LDOUSDT,LDO,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,LDOUSDT
ApeX Omni,JUPUSDT,JUP,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,JUPUSDT
ApeX Omni,FILUSDT,FIL,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,FILUSDT
ApeX Omni,ARUSDT,AR,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,ARUSDT
ApeX Omni,ENAUSDT,ENA,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,ENAUSDT
ApeX Omni,POPCATUSDT,POPCAT,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,POPCATUSDT
ApeX Omni,TRXUSDT,TRX,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,TRXUSDT
ApeX Omni,APTUSDT,APT,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,APTUSDT
ApeX Omni,TIAUSDT,TIA,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,TIAUSDT
ApeX Omni,INJUSDT,INJ,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,INJUSDT
ApeX Omni,SUSDT,S,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,SUSDT
ApeX Omni,HMSTRUSDT,HMSTR,USDT,USDT,50.0,1.0,1e-07,2026-05-31 22:09:58.728739,20260531,HMSTRUSDT
ApeX Omni,EIGENUSDT,EIGEN,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,EIGENUSDT
ApeX Omni,SEIUSDT,SEI,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,SEIUSDT
ApeX Omni,MOODENGUSDT,MOODENG,USDT,USDT,25.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,MOODENGUSDT
ApeX Omni,PNUTUSDT,PNUT,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,PNUTUSDT
ApeX Omni,ACTUSDT,ACT,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,ACTUSDT
ApeX Omni,HBARUSDT,HBAR,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,HBARUSDT
ApeX Omni,ZENUSDT,ZEN,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,ZENUSDT
ApeX Omni,VIRTUALUSDT,VIRTUAL,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,VIRTUALUSDT
ApeX Omni,RENDERUSDT,RENDER,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,RENDERUSDT
ApeX Omni,BERAUSDT,BERA,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,BERAUSDT
ApeX Omni,LAYERUSDT,LAYER,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,LAYERUSDT
ApeX Omni,IPUSDT,IP,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531,IPUSDT
ApeX Omni,XLMUSDT,XLM,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531,XLMUSDT
ApeX Omni,KAITOUSDT,KAITO,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531,KAITOUSDT
