instrument,short_exchange,short_funding_rate_pct,short_price,short_volume_24h,long_exchange,long_funding_rate_pct,long_price,long_volume_24h,funding_difference_pct,total_volume_sum,avg_open_interest
XLM,Bybit,139.4368,0.25475,1584939.0,Paradex,-6.3361,0.26125,2820.6,145.7729,2512057728.478732,12053741.850581089
DOT,KuCoin,13.68,1.199,2372.0,HTX,-68.1699,1.1813,49060.0,81.8499,188312769.27800798,5493045.636860747
LTC,HTX,33.3537,52.94,73930.0,Kraken,-25.0,52.71,150.0,58.3537,227392732.404168,8441934.809405947
DOGE,KuCoin,27.36,0.10133,477.0,CoinEx,0.0,0.100876,5375550.948896,27.36,789481196.9823159,28375107.12691975
POPCAT,Bitmex,16.64,0.053,3027.949,Crypto.com,-6.7724,0.0515,974.82137,23.4124,27339554.5990485,1012695.431567652
AVNT,Paradex,20.2765,0.14418,1413.46,CoinEx,-1.7674,0.142582,284305.773665,22.0439,70794292.8408178,1119757.5425712857
TON,HTX,16.9792,1.8974,954696.94719,Paradex,-3.741,1.8701,100.79,20.7202,456983847.38703996,18891823.38192816
XRP,HTX,4.5791,1.34386,40680.0,CoinEx,-10.8329,1.3405,68969.91895,15.412,1418157713.5300076,47787715.65574986
SUI,KuCoin,15.13,0.9019,10.0,Hyperliquid,-0.1447,0.9001,14076280.234771,15.2747,528651976.64340353,19492356.029736016
ZEC,BingX,1.1,548.66,7058921.2031382,HTX,-14.0159,547.83,1878617.0675,15.1159,2365727929.957848,50040497.97851608
KAITO,KuCoin,2.02,0.4619,1204121.7588,Paradex,-12.628,0.4647,1322.58,14.648,40358646.069218285,1520970.322289
BNB,Paradex,4.7217,731.05,345852.1052,WhiteBIT,-8.6896,727.04,127194330.3422,13.4113,5486528731.367701,42511205.333547704
TIA,CoinEx,3.8117,0.4003,358998.2603,Paradex,-8.5907,0.41,287.0,12.4024,86679406.7986692,2262344.7663872694
JUP,Bitmex,1.0,0.18,82.8,Paradex,-10.5288,0.1857,342.36,11.5288,53196404.542745,1870793.7968263477
BCH,Bitunix,2.4166,302.02,2836209.29684,Bitmex,-8.92,302.4,767156.311,11.3366,225662973.8283591,12202474.531209158
XPL,HTX,10.0727,0.092,13818.2919,Bitunix,-0.5,0.0912,1388462.3459,10.5727,84831848.12022899,5124852.940848652
OP,KuCoin,5.73,0.119,988528.5091,Paradex,-4.7786,0.1215,37.908,10.5086,65221588.35782701,2066854.3378825688
ETH,CoinEx,6.3351,2020.17,537680.53105,Bitget,-4.05,2014.33,2054692.2958,10.3851,21574223989.093372,312999760.7952883
WIF,KuCoin,5.01,0.1899,1225602.753,Paradex,-4.6456,0.1781,16.1002,9.6556,72587413.813683,2735323.8830516078
HYPE,Paradex,5.8799,68.119,824171.6278,Aster,-3.1588,68.205,72997736.89817,9.0387,4665593910.233114,121000492.84792739
