requested_instrument,min_funding_rate,max_funding_rate,avg_funding_rate,exchange_count,avg_price,total_volume_24h,total_open_interest,exchanges,funding_spread_pct
XLM,-6.3361,139.4368,4.559006666666667,23,0.25633096666666666,2512057728.478733,361612255.51743263,"['Binance', 'OKX', 'Bybit', 'MEXC', 'Bitget', 'Bitunix', 'Gate', 'WhiteBIT', 'BingX', 'KuCoin', 'LBank', 'CoinEx', 'ApeX Omni', 'Hyperliquid', 'Coinbase', 'Binance', 'Kraken', 'BingX', 'Bybit', 'Aster', 'Bybit', 'HTX', 'Bitget', 'Bitunix', 'Lighter', 'MEXC', 'Extended', 'Crypto.com', 'dYdX', 'Paradex']",145.7729
DOT,-68.1699,13.68,-1.4773628571428572,23,1.1883602857142856,188312769.27800798,192256597.29012612,"['Bitmex', 'Binance', 'Bybit', 'WhiteBIT', 'OKX', 'LBank', 'BingX', 'MEXC', 'BingX', 'Bitunix', 'Bitget', 'Gate', 'BingX', 'Binance', 'KuCoin', 'OKX', 'Hyperliquid', 'Kraken', 'CoinEx', 'EdgeX', 'Bitunix', 'Extended', 'Lighter', 'Bybit', 'MEXC', 'Coinbase', 'Bitget', 'Aster', 'HTX', 'HTX', 'Bybit', 'Crypto.com', 'Bitmex', 'Paradex', 'KuCoin']",81.8499
LTC,-25.0,33.3537,0.6545249999999999,24,52.3572,227392732.404168,337677392.37623787,"['BingX', 'Binance', 'WhiteBIT', 'Bybit', 'BingX', 'LBank', 'OKX', 'BingX', 'ApeX Omni', 'Gate', 'Bitmex', 'Bitget', 'MEXC', 'Binance', 'Bitunix', 'Binance', 'EdgeX', 'Hyperliquid', 'OKX', 'CoinEx', 'KuCoin', 'Coinbase', 'Kraken', 'HTX', 'MEXC', 'Bitunix', 'Bybit', 'Bitunix', 'MEXC', 'HTX', 'Aster', 'Extended', 'CoinEx', 'Bybit', 'Crypto.com', 'Bitget', 'Paradex', 'Bitmex', 'Lighter', 'Kraken']",58.3537
DOGE,0.0,27.36,1.7239317073170732,24,0.10092382222222224,789481196.982316,1276879820.711389,"['Binance', 'OKX', 'WhiteBIT', 'MEXC', 'Gate', 'Bybit', 'Bitmex', 'Bitunix', 'LBank', 'Binance', 'Bitget', 'BingX', 'EdgeX', 'Binance', 'Coinbase', 'Hyperliquid', 'Aster', 'CoinEx', 'OKX', 'BingX', 'HTX', 'KuCoin', 'BingX', 'ApeX Omni', 'Bitmex', 'Kraken', 'Crypto.com', 'Extended', 'Bitunix', 'MEXC', 'Bitget', 'Bybit', 'Bitunix', 'MEXC', 'Bybit', 'CoinEx', 'HTX', 'Bybit', 'Bybit', 'Paradex', 'KuCoin', 'Bybit', 'Bybit', 'KuCoin', 'Lighter']",27.36
POPCAT,-6.7724,16.64,0.9457409090909091,20,0.05162717391304348,27339554.5990485,23291994.926056,"['LBank', 'BingX', 'Bybit', 'BingX', 'ApeX Omni', 'Binance', 'Kraken', 'KuCoin', 'WhiteBIT', 'MEXC', 'OKX', 'Hyperliquid', 'Bitget', 'Bitunix', 'CoinEx', 'MEXC', 'Gate', 'Extended', 'Bybit', 'Coinbase', 'Bitmex', 'Lighter', 'Crypto.com']",23.4124
AVNT,-1.7674,20.2765,1.3702904761904762,20,0.14238771428571428,70794292.84081781,23514908.393997,"['Binance', 'OKX', 'BingX', 'Bybit', 'WhiteBIT', 'Hyperliquid', 'MEXC', 'KuCoin', 'LBank', 'Bitget', 'Bitunix', 'Gate', 'Coinbase', 'CoinEx', 'Extended', 'Bybit', 'HTX', 'Aster', 'Crypto.com', 'Paradex', 'Lighter']",22.0439
TON,-3.741,16.9792,0.76384,23,1.8798616000000001,456983847.38704,472295584.548204,"['Binance', 'Bybit', 'OKX', 'Hyperliquid', 'WhiteBIT', 'Bitget', 'ApeX Omni', 'LBank', 'KuCoin', 'Bitunix', 'Gate', 'CoinEx', 'Kraken', 'HTX', 'EdgeX', 'Extended', 'Aster', 'Bybit', 'Coinbase', 'MEXC', 'Bybit', 'Lighter', 'Bitmex', 'Crypto.com', 'Paradex']",20.7202
XRP,-10.8329,4.5791,0.3622558139534884,25,1.3417859916000001,1418157713.5300076,2389385782.7874928,"['Binance', 'MEXC', 'OKX', 'Bybit', 'Bitget', 'WhiteBIT', 'Gate', 'MEXC', 'Binance', 'Hyperliquid', 'Bitunix', 'LBank', 'Bitmex', 'BingX', 'Binance', 'Coinbase', 'KuCoin', 'EdgeX', 'Aster', 'ApeX Omni', 'CoinEx', 'MEXC', 'Bybit', 'BingX', 'Extended', 'Kraken', 'Crypto.com', 'BingX', 'Bitget', 'OKX', 'Bitunix', 'Bitmex', 'Bybit', 'Bitunix', 'HTX', 'KuCoin', 'Binance', 'Paradex', 'CoinEx', 'Binance', 'HTX', 'Bybit', 'dYdX', 'Bybit', 'Bybit', 'Bybit', 'KuCoin', 'Kraken', 'Lighter', 'Bitmex']",15.412
SUI,-0.1447,15.13,1.0879435897435898,24,0.9009371794871794,528651976.64340353,760201885.1597044,"['Binance', 'MEXC', 'OKX', 'Bybit', 'WhiteBIT', 'Bitget', 'Bitunix', 'Gate', 'LBank', 'Hyperliquid', 'BingX', 'Binance', 'ApeX Omni', 'BingX', 'KuCoin', 'BingX', 'Extended', 'CoinEx', 'EdgeX', 'Coinbase', 'Kraken', 'Aster', 'Binance', 'OKX', 'HTX', 'MEXC', 'Bybit', 'Bitunix', 'MEXC', 'Bitget', 'Bitmex', 'Crypto.com', 'CoinEx', 'Bybit', 'Bitunix', 'Paradex', 'KuCoin', 'Lighter', 'KuCoin']",15.2747
ZEC,-14.0159,1.1,-0.46949166666666664,21,549.4820416666666,2365727929.957848,1200971951.484386,"['Binance', 'MEXC', 'OKX', 'Hyperliquid', 'Bybit', 'LBank', 'Bitget', 'Gate', 'BingX', 'Binance', 'CoinEx', 'ApeX Omni', 'WhiteBIT', 'KuCoin', 'EdgeX', 'Kraken', 'BingX', 'Aster', 'Coinbase', 'MEXC', 'HTX', 'Extended', 'Bitmex', 'Paradex']",15.1159
KAITO,-12.628,2.02,-0.5235260869565218,20,0.46118173913043475,40358646.0692183,34982317.412647,"['ApeX Omni', 'BingX', 'BingX', 'WhiteBIT', 'Binance', 'OKX', 'KuCoin', 'LBank', 'Bybit', 'Binance', 'Bitget', 'Gate', 'MEXC', 'Bitunix', 'Hyperliquid', 'CoinEx', 'MEXC', 'Extended', 'Kraken', 'Aster', 'Paradex', 'HTX', 'Lighter']",14.648
BNB,-8.6896,4.7217,0.47092727272727275,23,727.9079285714286,5486528731.3677,1487892186.6741693,"['Binance', 'Binance', 'OKX', 'LBank', 'Bybit', 'Gate', 'Aster', 'Bitunix', 'Binance', 'Bitget', 'WhiteBIT', 'MEXC', 'BingX', 'Hyperliquid', 'EdgeX', 'ApeX Omni', 'BingX', 'CoinEx', 'Bitunix', 'KuCoin', 'Bitunix', 'Extended', 'BingX', 'HTX', 'Kraken', 'Bybit', 'Coinbase', 'Binance', 'Bitmex', 'Binance', 'MEXC', 'Bitmex', 'Paradex', 'CoinEx', 'Lighter']",13.4113
TIA,-8.5907,3.8117,-0.27245384615384616,22,0.39994653846153844,86679406.7986692,58820963.926069,"['Binance', 'ApeX Omni', 'MEXC', 'Bybit', 'BingX', 'WhiteBIT', 'OKX', 'Bitget', 'BingX', 'LBank', 'Binance', 'Bitunix', 'KuCoin', 'Hyperliquid', 'Gate', 'CoinEx', 'MEXC', 'Kraken', 'Extended', 'HTX', 'Crypto.com', 'Coinbase', 'Bybit', 'Lighter', 'Aster', 'Paradex']",12.4024
