instrument,exchange,symbol,price,index_price,price_change_24h_pct,volume_24h_usd,volume_usd_change_percent_24h,long_volume_usd,short_volume_usd,long_volume_quantity,short_volume_quantity,open_interest_quantity,open_interest_usd,open_interest_change_percent_24h,funding_rate,next_funding_timestamp,open_interest_volume_radio,oi_vol_ratio_change_percent_24h,requested_instrument,long_liquidation_usd,short_liquidation_usd,funding_rate_pct,fetch_timestamp
BTC_PERP,WhiteBIT,BTC/USDT,73869.5,73850.34,-0.1,14846025137.6275,218.63,8396946841.9342,6449078295.6933,26953,20038,25921.176,1914576941.124,0.57,0.000286,1780243200000.0,0.129,-68.43,BTC,,,0.0286,2026-05-31 22:11:46.810970
BTC_USDT,MEXC,BTC/USDT,73835.1,73853.7,-0.09,5234770740.96208,6.29,2596230455.51955,2638540285.43293,207409,210225,74094.7526,5469993244.36818,3.45,0.01,1780243200000.0,1.0449,-2.66,BTC,,,1.0,2026-05-31 22:11:46.810970
BTCUSDT,Binance,BTC/USDT,73835.2,73858.79434783,-0.09,3630845430.3573,-59.15,1805040534.2293,1825804896.078,595304,586251,105358.146,7777991377.7478,0.69,0.01,1780243200000.0,2.1422,146.51,BTC,1536570.69,1633802.63,1.0,2026-05-31 22:11:46.810970
BTC-USDT-SWAP,OKX,BTC/USDT,73832.6,73855.9,-0.07,2024209228.85857,-62.06,1032025379.06485,992183849.83382,223483,216128,34260.26440000024,2528828913.9721375,0.79,0.00135110078085,1780243200000.0,1.2493,165.64,BTC,316822.92,73100.99,0.1351,2026-05-31 22:11:46.810970
BTC-PERP,Coinbase,BTC/USDC,73768.2,73751.7,-0.09,1897889588.05231,-45.08,939520912.1523,958368675.91001,143660,150591,2812.4104,207463077.9768,3.19,0.0005,,0.1093,87.8,BTC,,,0.05,2026-05-31 22:11:46.810970
BTCUSDT,ApeX Omni,BTC/USDT,73833.6,73864.36,-0.07,1774977483.2318,126.43,970764384.4108,804213098.821,114532,95492,1516.446,111964667.3856,-0.18,0.000818,,0.0631,-55.9,BTC,,,0.0818,2026-05-31 22:11:46.810970
BTCUSDT,Bybit,BTC/USDT,73840.1,73856.28,-0.07,1633560519.5471,-63.21,838665865.4345,794894654.1126,287614,300568,54969.943,4058628783.48,0.4,0.009152,1780243200000.0,2.4845,172.93,BTC,406665.18,99206.12,0.9152,2026-05-31 22:11:46.810970
BTC_USDT,Gate,BTC/USDT,73835.9,73856.55,-0.07,1561061466.62302,-55.14,790638483.16088,770422983.45314,128547,130101,65511.9762,4836657486.07932,2.85,0.0049,1780243200000.0,3.0983,129.27,BTC,564470.99,164855.14,0.49,2026-05-31 22:11:46.810970
BTCUSDC,Binance,BTC/USDC,73755.9,73778.22774311,-0.09,1088057864.6954,-56.8,541084977.8892,546972886.7962,160312,165250,17326.484,1277826462.3516,1.02,0.007035,1780243200000.0,1.1744,133.85,BTC,83976.64,4058.29,0.7035,2026-05-31 22:11:46.810970
BTCUSDT_UMCBL,Bitget,BTC/USDT,73833.9,73856.39977144744,-0.07,1035115312.78339,-63.4,502795326.74769,532319986.0459,158199,165863,18860.023444,1392320484.7275116,1.52,0.0072,1780243200000.0,1.3451,177.34,BTC,426908.91,209200.54,0.72,2026-05-31 22:11:46.810970
