exchange,instrument_id,base_asset,quote_asset,settlement_currency,max_leverage,funding_interval,price_tick_size,fetch_timestamp,fetch_date
ApeX Omni,BTCUSDT,BTC,USDT,USDT,100.0,1.0,0.1,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ETHUSDT,ETH,USDT,USDT,100.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,APEXUSDT,APEX,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,TAOUSDT,TAO,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,CHZUSDT,CHZ,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531
ApeX Omni,SOLUSDT,SOL,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,BNBUSDT,BNB,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,XRPUSDT,XRP,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,TONUSDT,TON,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,DOGEUSDT,DOGE,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ADAUSDT,ADA,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,SUIUSDT,SUI,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,AVAXUSDT,AVAX,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,HYPEUSDT,HYPE,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,OPUSDT,OP,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,AAVEUSDT,AAVE,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,LINKUSDT,LINK,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ONDOUSDT,ONDO,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,1000PEPEUSDT,1000PEPE,USDT,USDT,25.0,1.0,1e-07,2026-05-31 22:09:58.728739,20260531
ApeX Omni,1000SHIBUSDT,1000SHIB,USDT,USDT,25.0,1.0,1e-06,2026-05-31 22:09:58.728739,20260531
ApeX Omni,UNIUSDT,UNI,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,CRVUSDT,CRV,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ENSUSDT,ENS,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ZKUSDT,ZK,USDT,USDT,50.0,1.0,1e-05,2026-05-31 22:09:58.728739,20260531
ApeX Omni,1000BONKUSDT,1000BONK,USDT,USDT,25.0,1.0,1e-06,2026-05-31 22:09:58.728739,20260531
ApeX Omni,WIFUSDT,WIF,USDT,USDT,25.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,PENDLEUSDT,PENDLE,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ZROUSDT,ZRO,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,NEARUSDT,NEAR,USDT,USDT,50.0,1.0,0.001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,BCHUSDT,BCH,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,LTCUSDT,LTC,USDT,USDT,50.0,1.0,0.01,2026-05-31 22:09:58.728739,20260531
ApeX Omni,POLUSDT,POL,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,ARBUSDT,ARB,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,WLDUSDT,WLD,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,STXUSDT,STX,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
ApeX Omni,LDOUSDT,LDO,USDT,USDT,50.0,1.0,0.0001,2026-05-31 22:09:58.728739,20260531
