instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
BTC,12,BTC-USDT,BTC,USDT,50.0,8.0,0.1
ETH,12,ETH-USDT,ETH,USDT,50.0,8.0,0.01
JUP,11,JUP-USDT,JUP,USDT,25.0,4.0,0.0001
HYPE,11,HYPE-USDT,HYPE,USDT,50.0,4.0,0.001
ADA,11,ADA-USDT,ADA,USDT,50.0,8.0,0.0001
TIA,11,TIA-USDT,TIA,USDT,25.0,4.0,0.0001
SOL,11,SOL-USDT,SOL,USDT,50.0,8.0,0.001
SEI,11,SEI-USDT,SEI,USDT,25.0,8.0,0.0001
PENGU,11,PENGU-USDT,PENGU,USDT,10.0,4.0,1e-06
OP,11,OP-USDT,OP,USDT,25.0,8.0,0.0001
AVAX,11,AVAX-USDT,AVAX,USDT,25.0,8.0,0.001
LTC,11,LTC-USDT,LTC,USDT,25.0,8.0,0.01
LINK,11,LINK-USDT,LINK,USDT,25.0,8.0,0.001
WIF,11,WIF-USDT,WIF,USDT,25.0,4.0,0.0001
KAITO,11,KAITO-USDT,KAITO,USDT,10.0,4.0,0.0001
SUI,11,SUI-USDT,SUI,USDT,50.0,8.0,0.0001
TAO,11,TAO-USDT,TAO,USDT,25.0,4.0,0.01
ARB,11,ARB-USDT,ARB,USDT,25.0,8.0,0.0001
XPL,11,XPL-USDT,XPL,USDT,25.0,4.0,0.0001
XRP,11,XRP-USDT,XRP,USDT,50.0,8.0,0.0001
BNB,11,BNB-USDT,BNB,USDT,50.0,8.0,0.01
ASTER,11,ASTER-USDT,ASTER,USDT,25.0,4.0,0.0001
DOGE,11,DOGE-USDT,DOGE,USDT,50.0,8.0,1e-05
ZEC,11,ZEC-USDT,ZEC,USDT,10.0,8.0,0.01
APT,11,APT-USDT,APT,USDT,25.0,8.0,0.0001
FARTCOIN,10,FARTCOIN-USDT,FARTCOIN,USDT,25.0,4.0,0.0001
POL,10,POL-USDT,POL,USDT,5.0,4.0,1e-05
AVNT,10,AVNT-USDT,AVNT,USDT,10.0,4.0,1e-05
BCH,10,BCH-USDT,BCH,USDT,25.0,8.0,0.01
PYTH,10,PYTH-USDT,PYTH,USDT,5.0,4.0,1e-05
PUMP,10,PUMP-USDT,PUMP,USDT,50.0,4.0,1e-06
POPCAT,10,POPCAT-USDT,POPCAT,USDT,10.0,4.0,1e-05
PAXG,10,PAXG-USDT,PAXG,USDT,10.0,4.0,0.01
CRV,10,CRV-USDT,CRV,USDT,25.0,8.0,0.0001
PENDLE,10,PENDLE-USDT,PENDLE,USDT,10.0,8.0,0.0001
NEAR,10,NEAR-USDT,NEAR,USDT,25.0,8.0,0.0001
DOT,10,DOT-USDT,DOT,USDT,25.0,8.0,0.001
LIT,10,LIT-PERP,LIT,USDC,25.0,1.0,1e-05
ENA,10,ENA-USDT,ENA,USDT,50.0,4.0,0.0001
IP,10,IP-USDT,IP,USDT,10.0,4.0,1e-05
LDO,10,LDO-USDT,LDO,USDT,25.0,8.0,0.0001
ONDO,10,ONDO-USDT,ONDO,USDT,25.0,4.0,0.0001
TON,10,TON-PERP,TON,USDC,25.0,1.0,0.001
WLD,10,WLD-USDT,WLD,USDT,10.0,8.0,0.0001
TRUMP,10,TRUMP-PERP,TRUMP,USDC,25.0,1.0,0.001
WLFI,10,WLFI-USDT,WLFI,USDT,10.0,4.0,0.0001
AAVE,10,AAVE-USDT,AAVE,USDT,50.0,8.0,0.01
XLM,10,XLM-USDT,XLM,USDT,10.0,8.0,1e-05
UNI,10,UNI-USDT,UNI,USDT,25.0,8.0,0.001
ZRO,10,ZRO-USDT,ZRO,USDT,10.0,4.0,0.0001
JUPUSDT,9,JUPUSDT,JUP,USDT,50.0,1.0,0.0001
JTO,9,JTO-USDT,JTO,USDT,5.0,4.0,0.0001
WLDUSDT,9,WLDUSDT,WLD,USDT,50.0,1.0,0.0001
IO,9,IO-USDT,IO,USDT,3.0,4.0,0.0001
W,9,W-USDT,W,USDT,5.0,4.0,1e-05
LINKUSDT,9,LINKUSDT,LINK,USDT,50.0,1.0,0.001
INJ,9,INJ-USDT,INJ,USDT,5.0,8.0,0.001
ICP,9,ICP-USDT,ICP,USDT,5.0,8.0,0.001
HYPEUSDT,9,HYPEUSDT,HYPE,USDT,50.0,1.0,0.001
